workId, aired, genres
"22145","Jul 11, 2014 to Sep 12, 2014","Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
"18195","Oct 5, 2013 to Dec 28, 2013","Comedy, Drama, Romance, School, Slice of Life, Supernatural"
"3226","Jan 5, 2008 to Jun 28, 2008","Sports, Comedy, Drama, Shounen"
"9890","Dec 17, 2010","Comedy, Drama, Shounen, Sports"
"4155","Dec 12, 2009","Action, Adventure, Comedy, Drama, Fantasy, Shounen"
"13759","Oct 9, 2012 to Mar 26, 2013","Comedy, Drama, Romance, School, Slice of Life"
"1033","Sep 14, 2002","Action, Adventure, Drama, Fantasy, Historical, Romance"
"759","Nov 8, 2003","Comedy, Drama"
"12115","Feb 1, 2013","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural"
"32867","Oct 6, 2016 to Dec 16, 2016","Action, Mystery, Super Power, Supernatural, Seinen"
"813","Apr 26, 1989 to Jan 31, 1996","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
"138","Feb 5, 2003 to Apr 16, 2003","Action, Adventure, Super Power, Fantasy, Shounen"
"22507","May 16, 2014 to Jun 22, 2014","Cars, Seinen, Sports"
"16664","Nov 23, 2013","Fantasy, Historical"
"28675","Apr 25, 2015","Slice of Life, Supernatural, Fantasy"
"34577","Jan 13, 2018 to Jun 30, 2018","Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
"12859","Dec 15, 2012","Action, Adventure, Comedy, Drama, Fantasy, Shounen"
"6","Apr 1, 1998 to Sep 30, 1998","Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
"3091","Apr 4, 2008 to Jun 27, 2008","Mystery, Comedy, Psychological, Supernatural, Drama"
"6547","Apr 3, 2010 to Jun 26, 2010","Action, Comedy, Drama, School, Supernatural"
"372","Jul 15, 2000","Comedy, Drama, Fantasy, Magic, Romance, Shoujo"
"31988","Oct 6, 2016 to Dec 29, 2016","Music, School, Drama"
"185","Apr 19, 1998 to Dec 6, 1998","Action, Cars, Drama, Seinen, Sports"
"1604","Oct 7, 2006 to Sep 25, 2010","Action, Comedy, Shounen, Super Power"
"512","Jul 29, 1989","Adventure, Comedy, Drama, Magic, Romance, Fantasy"
"585","Jul 15, 1995","Slice of Life, Drama, Romance, Shoujo"
"6864","Apr 23, 2010 to Mar 9, 2011","Mystery, Supernatural"
"10800","Oct 5, 2011 to Mar 28, 2012","Drama, Game, Josei, School, Slice of Life, Sports"
"32005","Apr 16, 2016","Action, Mystery, Police, Shounen"
"35972","Oct 7, 2018 to ?","Action, Magic, Adventure, Fantasy, Comedy, Shounen"
"121","Oct 4, 2003 to Oct 2, 2004","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
"6336","Mar 12, 2010 to Jun 6, 2014","Action, Drama, Mecha, Military, Sci-Fi, Space"
"19123","Aug 24, 2013","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power"
"31715","Mar 30, 2016","Comedy, Romance, Seinen, Slice of Life"
"23847","Apr 3, 2015 to Jun 26, 2015","Slice of Life, Comedy, Drama, Romance, School"
"6746","Jan 8, 2010 to Jun 25, 2010","Action, Mystery, Supernatural"
"10271","Apr 6, 2011 to Sep 28, 2011","Game, Psychological, Thriller, Seinen"
"265","Sep 5, 2003","Comedy, Shounen, Sports"
"23327","Jul 6, 2014 to Sep 25, 2014","Space, Comedy, Sci-Fi"
"1519","Oct 3, 2006 to Dec 19, 2006","Action, Seinen"
"25681","Jan 6, 2015 to Mar 31, 2015","Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
"11977","Oct 6, 2012","Psychological, Drama, Magic, Thriller"
"33051","Oct 2, 2016 to Apr 2, 2017","Action, Drama, Mecha, Sci-Fi, Space"
"962","Apr 3, 2006 to Sep 25, 2006","Fantasy, Sci-Fi, Shounen, Slice of Life"
"28223","Jan 10, 2015 to Mar 28, 2015","Game, Mystery, Psychological, Drama, Thriller"
"235","Jan 8, 1996 to ?","Adventure, Mystery, Comedy, Police, Shounen"
"6467","Apr 17, 2010","Action, Mystery, Police, Shounen"
"31658","Mar 18, 2017","Sports, School, Shounen"
"31051","Dec 24, 2015","Action, Sports, School, Shounen"
"10153","Jul 14, 2012","Action, Magic, Comedy, Sci-Fi, Drama"
"23755","Oct 5, 2014 to Mar 29, 2015","Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural"
"9130","Feb 23, 2011 to Jul 20, 2011","Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural"
"37171","Jul 8, 2018 to Sep 23, 2018","Comedy, School"
"20899","Apr 5, 2014 to Sep 13, 2014","Action, Adventure, Supernatural, Drama, Shounen"
"16782","May 31, 2013","Slice of Life, Psychological, Drama, Romance"
"1453","Mar 26, 1986 to Mar 2, 1988","Slice of Life, Comedy, Drama, Romance, Seinen"
"21557","Jul 19, 2014","Mystery, Psychological, Drama"
"1364","Apr 21, 2001","Adventure, Police, Comedy, Mystery, Shounen"
"18","Apr 17, 2004 to Feb 18, 2006","Action, Cars, Sports, Drama, Seinen"
"35062","Oct 8, 2017 to Mar 25, 2018","Slice of Life, Fantasy, Magic, Shounen"
"32902","Sep 10, 2016 to Sep 9, 2017","Slice of Life, Magic, Fantasy, Shounen"
"4477","Oct 10, 2008 to Dec 19, 2008","Music, Slice of Life, Comedy, Romance, Josei"
"15323","Aug 25, 2012","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power"
"4722","Oct 6, 2008 to Mar 30, 2009","Comedy, Drama, Romance, Shoujo"
"3901","Feb 27, 2008 to May 28, 2008","Action, Mystery, Comedy, Historical, Supernatural"
"3701","Apr 11, 2008 to Jul 25, 2008","Adventure, Mystery, Romance, Sci-Fi"
"16067","Oct 3, 2013 to Apr 3, 2014","Drama, Fantasy, Romance"
"23623","Jul 7, 2015 to Sep 22, 2015","Comedy, School, Seinen, Slice of Life"
"37675","Jul 10, 2018 to Oct 2, 2018","Action, Fantasy, Game, Magic, Supernatural"
"4107","Sep 6, 2008","Action, Comedy, Mecha"
